key,doc_count
Biochemistry,28143
Multidisciplinary,27961
Energy Engineering and Power Technology,26713
Statistics and Probability,26191
Molecular Biology,20053
SVM,19176
Computer Graphics and Computer-Aided Design,18857
Gaussian,18777
GA,18082
Bayesian,18050
Management Science and Operations Research,18018
Aerospace Engineering,17556
Analytical Chemistry,16363
Health Informatics,15692
Genetics,15255
Monte Carlo,14709
Genetic algorithm,14704
3D,14066
NP,13326
Biotechnology,12622
Physical and Theoretical Chemistry,12190
China,11850
Markov,11116
Deep learning,10973
Biophysics,10685
Automotive Engineering,10480
AI,10465
PSO,10409
Water Science and Technology,10393
CNN,10198
Atmospheric Science,10139
Media Technology,9922
Strategy and Management,9542
ANN,9505
Artificial intelligence,9419
Environmental Engineering,9334
Numerical Analysis,9323
Fluid Flow and Transfer Processes,9168
Space and Planetary Science,8873
Pareto,8758
Library and Information Sciences,8616
Geotechnical Engineering and Engineering Geology,8535
RF,8512
IoT,8445
Kalman,8399
MATLAB,8241
CI,8154
Fuel Technology,8048
the Creative Commons Attribution License,7942
Surgery,7767
Oncology,7593
Computers in Earth Sciences,7363
Geophysics,7247
Pollution,7075
Management of Technology and Innovation,6887
Lyapunov,6813
Astronomy and Astrophysics,6780
Fourier,6780
Ocean Engineering,6765
SNR,6719
Clustering,6628
CT,6585
Structural Biology,6493
EEG,6170
Transportation,6132
QoS,6071
Spectroscopy,6010
Geometry and Topology,5942
PCA,5921
Discrete Mathematics and Combinatorics,5920
GPU,5861
Cardiology and Cardiovascular Medicine,5775
Data mining,5685
RNA,5607
Bioengineering,5568
Ecology,5557
Particle swarm optimization,5541
AUC,5467
Acoustics and Ultrasonics,5457
Education,5435
FPGA,5386
Statistical and Nonlinear Physics,5344
Springer Science+Business Media,5155
Nuclear and High Energy Physics,5148
Cancer Research,5143
Computational Mechanics,5084
Environmental Chemistry,5058
Economics and Econometrics,5046
ROC,5021
Feature selection,4957
LLC,4874
Nuclear Energy and Engineering,4825
Geology,4812
Random Forest,4780
Geochemistry and Petrology,4726
Neurology,4717
Materials Chemistry,4696
EM,4689
Organic Chemistry,4664
DC,4632
Chinese,4608
Multi-objective optimization,4584
Molecular Medicine,4578
Radiation,4573
Agronomy and Crop Science,4554
ECG,4479
GPS,4465
SAR,4451
Cellular and Molecular Neuroscience,4403
Soil Science,4392
Support vector machine,4377
Algebra and Number Theory,4351
Artificial neural network,4338
PID,4281
Neural network,4234
RMSE,4221
Euclidean,4176
DE,4170
Food Science,4074
PV,4074
Cloud computing,4007
Cell Biology,3977
UAV,3977
Health Information Management,3943
Scheduling,3880
India,3861
Epidemiology,3810
Pharmacology,3799
IEEE,3766
BP,3757
Metals and Alloys,3741
Orthopedics and Sports Medicine,3684
Image processing,3675
Oxford University Press,3603
Lagrangian,3602
Earth,3581
Hilbert,3534
Business and International Management,3526
KNN,3505
Forestry,3503
Infectious Diseases,3492
Fuzzy,3491
Newton,3479
Waste Management and Disposal,3428
Pharmaceutical Science,3402
Bayes,3342
Earth-Surface Processes,3305
Drug Discovery,3275
ABC,3251
European,3218
Psychiatry and Mental Health,3194
Wireless sensor networks,3190
SA,3109
Oceanography,3077
PSNR,3018
Big data,3012
Remote sensing,2990
PI,2968
MR,2930
Herein,2927
Iran,2924
COVID-19,2888
R2,2869
ACO,2834
Doppler,2788
Germany,2769
Image segmentation,2754
Linguistics and Language,2754
AC,2746
II,2739
SVR,2731
MAE,2728
Aquatic Science,2726
Physiology,2711
Internal Medicine,2709
PET,2706
Segmentation,2698
Health Policy,2697
CFD,2688
English,2681
the United States,2653
Immunology,2644
Convolutional neural network,2627
Language and Linguistics,2625
OFDM,2625
USA,2610
CAD,2585
UCI,2569
Law,2563
Switzerland,2553
ELM,2525
Pearson,2524
Springer-Verlag GmbH Germany,2510
Background,2490
Pathology and Forensic Medicine,2479
Energy efficiency,2449
WSN,2429
MPPT,2404
Twitter,2392
Digital,2359
CMOS,2352
Laplacian,2351
Differential evolution,2296
FFT,2272
Ophthalmology,2260
Lagrange,2259
ANFIS,2250
Reynolds,2239
Reinforcement learning,2227
Formula,2226
Ceramics and Composites,2225
FCM,2215
Animal Science and Zoology,2199
Security,2169
Nash,2167
IP,2157
Clinical Biochemistry,2144
Fuzzy logic,2136
Immunology and Allergy,2128
Canada,2124
MPC,2111
Plant Science,2109
ICA,2100
Boolean,2092
BS,2070
Ecological Modeling,2061
Computer vision,2059
Uncertainty,2031
Rehabilitation,2029
BER,1996
MRI,1983
MD,1979
PCR,1974
DFT,1972
Quantum,1972
Euler,1947
Catalysis,1940
SVD,1940
CSI,1914
Basel,1913
Polymers and Plastics,1902
CR,1901
Sociology and Political Science,1894
UK,1887
Levenberg-Marquardt,1885
Microbiology,1863
AP,1859
Inorganic Chemistry,1859
Horticulture,1858
Kalman filter,1852
Pattern recognition,1849
Fisher,1843
Europe,1839
non-Gaussian,1838
Cartesian,1834
MAC,1821
ANOVA,1807
CS,1804
Australia,1788
CC,1778
Hematology,1777
Parallel,1777
Fault diagnosis,1769
NLP,1767
DOA,1762
Global and Planetary Change,1758
Indian,1754
Internet of Things,1754
Evolutionary algorithms,1748
Gastroenterology,1740
Finance,1734
Hamiltonian,1725
Licensee MDPI,1725
Gibbs,1722
Experimental and Cognitive Psychology,1720
Italy,1717
U.S.,1705
Pulmonary and Respiratory Medicine,1702
Simulated annealing,1682
Marketing,1680
Natural language processing,1679
SNP,1656
Brazil,1636
Routing,1633
Naïve Bayes,1620
AdaBoost,1613
Logic,1608
Dice,1605
Spain,1604
BMI,1598
Parameter estimation,1596
Japan,1590
NIR,1589
EM algorithm,1586
Obstetrics and Gynecology,1582
Dynamic programming,1577
LASSO,1576
Galerkin,1573
RNN,1573
Principal component analysis,1565
DL,1561
NMR,1559
Raman,1555
Boltzmann,1547
ED,1546
MLP,1542
K-means,1541
MapReduce,1539
Jacobian,1538
MSE,1530
Resource allocation,1530
RBF,1526
Decision tree,1525
Global optimization,1522
MS,1509
GIS,1507
DSP,1503
Breast cancer,1493
HMM,1491
Laplace,1489
Otorhinolaryngology,1487
LMS,1475
PPV,1475
EC,1464
RFID,1463
CUDA,1444
pH,1444
Finite element method,1441
Developmental and Educational Psychology,1434
Extreme learning machine,1433
Face recognition,1424
PD,1421
MATLAB/Simulink,1420
Magnetic resonance imaging,1419
ADMM,1418
Applied Microbiology and Biotechnology,1414
Compressed sensing,1410
GNSS,1407
NDVI,1400
EMG,1398
Histology,1392
Sensory Systems,1389
American,1388
Nature and Landscape Conservation,1384
QSAR,1383
Android,1382
MODIS,1382
C++,1380
SOC,1379
EV,1368
Anomaly detection,1365
Ant colony optimization,1364
Critical Care and Intensive Care Medicine,1355
Rayleigh,1352
Swarm intelligence,1350
Dimensionality reduction,1347
Anesthesiology and Pain Medicine,1344
EKF,1337
Lipschitz,1337
AES,1336
Philosophy,1330
healthcare,1329
NASA,1326
Transfer learning,1325
Forecasting,1321
NB,1320
Path planning,1318
RSA,1308
III,1303
FE,1302
Hadoop,1298
Landsat,1298
Gabor,1297
Approximation algorithms,1283
Beijing,1282
EMD,1282
Diagnosis,1275
Optimal control,1271
Taguchi,1271
PLS,1262
France,1261
NSGA-II,1256
BPNN,1250
Hessian,1247
Toxicology,1242
Localization,1236
Sensitivity analysis,1233
VLSI,1233
GMM,1232
Energy consumption,1231
Wavelet transform,1225
Kriging,1218
Surfaces and Interfaces,1218
Parallel computing,1211
Voronoi,1198
Java,1197
Multi,1195
DWT,1194
Combinatorial optimization,1193
Python,1193
Cognitive radio,1191
Computed tomography,1189
CCD,1186
Time series,1177
Endocrinology,1176
NPV,1176
Sensor Networks,1165
PS,1163
Urology,1163
Cryptography,1161
FEM,1156
LTE,1155
Naive Bayes,1155
Escherichia,1146
PA,1143
ICU,1134
EA,1123
Springer-Verlag London Ltd.,1122
IR,1120
Mathematical model,1119
Load balancing,1118
SDN,1115
Sentiment analysis,1113
Ensemble learning,1111
Monte Carlo simulation,1104
Bayesian inference,1103
Japanese,1101
Adaptive control,1096
KGaA,1096
GC,1094
GSA,1093
American Association of Physicists,1092
Sparse representation,1088
TSP,1086
Wilcoxon,1085
the Creative Commons Attribution,1080
MPI,1079
Dermatology,1075
AF,1068
Blockchain,1067
NN,1067
MEC,1065
Emergency Medicine,1062
Brownian,1057
Image analysis,1057
LBP,1057
SLAM,1055
TOPSIS,1055
DR,1051
MIMO,1051
SSA,1051
Regression,1049
Energy,1040
Convex optimization,1039
MOEA,1039
California,1038
FBP,1036
Safety Research,1035
Wiener,1035
Dijkstra,1032
Object detection,1032
Banach,1027
Image classification,1026
BA,1024
SMC,1024
Human Factors and Ergonomics,1022
Game theory,1017
French,1010
Maxwell,1010
Otsu,1006
Spearman,1000
Turkey,999
FD,998
Image reconstruction,997
RA,994
German,992
Brazilian,991
AE,990
Tikhonov,990
GPR,989
LDPC,989
AHP,988
Optimisation,987
Unsupervised learning,987
PWM,985
Text mining,983
DEM,982
Support vector regression,982
Green,978
NGS,978
Semi-supervised learning,978
Community detection,977
Multiobjective optimization,975
Recognition,974
Metropolis,973
Estimation,972
Task analysis,972
Calibration,968
HS,968
Privacy,968
Computational complexity,967
Evolutionary computation,966
United States,966
SM,962
DM,961
Spanish,961
Smart grid,954
DCT,949
NC,947
Behavioral Neuroscience,945
Linear programming,945
System identification,945
H∞,942
Active learning,932
Supervised learning,932
Apriori,931
AIS,930
Compressive sensing,930
Medical Laboratory Technology,930
EE,929
Electrochemistry,928
Data fusion,926
ILP,926
HCC,924
Virology,924
Image encryption,923
MW,922
Cluster analysis,921
Chaos,919
Urban Studies,919
RSS,916
DSM,914
RC,914
Encryption,909
UWB,909
Petri,908
API,904
Visualization,904
QRS,903
Cohen,900
Fault detection,900
Makespan,899
Markovian,898
Coulomb,895
Social media,895
DSS,890
Model predictive control,890
Bernoulli,887
Nutrition and Dietetics,885
Anatomy,884
Clinical Psychology,883
DNN,883
Numerical simulation,881
FDA,880
Graph theory,880
SCA,880
SSIM,877
FDTD,876
LV,875
HEVC,872
Local search,872
Monitoring,872
Malaysia,870
Collaborative filtering,867
GM,864
Inverse problem,863
Geriatrics and Gerontology,862
Biological Psychiatry,861
GAN,859
Ontology,859
NMF,857
Decision making,855
PM2.5,855
CNR,851
Eulerian,849
WiFi,849
Weibull,847
Li,845
MPP,843
Firefly algorithm,842
Aging,840
Intel,840
LSTM,839
Hepatology,837
Regularization,835
Quality of service,833
WOA,833
BC,832
Decision support system,832
MG,832
MIP,832
PageRank,832
Latin,829
Korea,828
ER,827
XGBoost,827
Alzheimer's disease,826
Deep neural network,825
DTI,822
CRC,818
5G,814
CSA,808
Arabic,806
Logistic regression,802
Google,801
Sensitivity,801
Nusselt,799
Social networks,799
CG,796
Tabu search,794
EU,793
Heuristic algorithms,792
GUI,788
Gene expression,787
MCI,787
Photovoltaic,785
Facebook,784
Image fusion,784
Asian,783
Applied Psychology,782
OA,779
Africa,778
Computational modeling,778
Unsupervised,777
CV,776
Multi-agent systems,775
Radar,775
RSM,774
Ultrasound,774
Bragg,770
ARIMA,769
Particle filter,769
Artificial bee colony,768
CART,768
kW,768
Canadian,762
OPF,759
African,756
RS,756
CSF,755
ICP,754
Prognosis,754
ICT,751
Throughput,751
Hamming,750
MCMC,745
MT,744
Climate change,741
Korean,741
Developmental Biology,740
Variable selection,740
K-means clustering,737
Mediterranean,736
PMSM,736
GWO,733
Intrusion detection,733
HOG,731
LST,730
MDP,730
DOF,729
Hausdorff,729
Kinect,728
AOD,727
Viterbi,727
Wang,727
Chen,726
Integer programming,723
ART,722
Distributed generation,722
Edge detection,722
T2,722
ET,720
CM,719
Shanghai,719
IQR,718
Stackelberg,718
Cardiac,716
FEA,716
Task scheduling,716
Hyperspectral imaging,714
Edge computing,713
Markov chain Monte Carlo,713
South Africa,713
Fuzzy clustering,710
Computing,709
Discovery,709
Delaunay,708
TD,707
UKF,707
VANET,705
Hough,703
Steganography,703
AR,702
ALS,700
RANSAC,700
Rheumatology,700
Sparsity,700
AD,695
Consensus,692
Riccati,692
Topology optimization,692
Electrocardiogram,691
GS,691
GBM,689
U-Net,687
CPS,686
MOPSO,686
Mexico,685
Indonesia,684
Structural health monitoring,684
Microarray,683
Haar,680
BSS,677
Krylov,677
Industry 4.0,674
NOMA,672
Authentication,671
Image registration,671
CCA,670
IC,670
KF,670
MUSIC,670
NSCLC,670
ROI,670
ACC,667
Energy management,666
PE,663
CVD,662
GEP,661
SR,661
Synchronization,661
