Id,x,y,size,showlabel,key,label
Galaxy,125.326126,-740.643066,11.263846,false,Galaxy,Galaxy
Downlink,-4213.5625,-163.741669,11.263846,false,Downlink,Downlink
Eyes,2596.249756,941.393005,11.263846,false,Eyes,Eyes
Banach,-2335.763184,175.997345,11.263846,false,Banach,Banach
Dosimetric,2253.345215,433.17218,11.263846,false,Dosimetric,Dosimetric
Spectroradiometer,988.98053,-3785.003662,11.263846,false,Spectroradiometer,Spectroradiometer
Censored,250.806442,978.705811,11.263846,false,Censored,Censored
vertices,-2498.362305,2644.746338,11.263846,false,vertices,vertices
MOEAs,-1043.381836,1168.892944,11.263846,false,MOEAs,MOEAs
Stromal,3849.019043,-369.594971,11.263846,false,Stromal,Stromal
DC-link,-2278.277344,-1401.619263,11.263846,false,DC-link,DC-link
CNNs,979.027649,3428.270264,11.263846,false,CNNs,CNNs
IMU,-896.956299,-174.532013,11.263846,false,IMU,IMU
Inertial,-925.399536,-192.90451,11.263846,false,Inertial,Inertial
Navier-Stokes,-771.590515,-1875.16394,11.263846,false,Navier-Stokes,Navier-Stokes
sentences,-944.603088,2927.705322,11.263846,false,sentences,sentences
secret,-3390.727051,1236.921021,11.263846,false,secret,secret
Selling,-1861.564697,1809.78418,11.263846,false,Selling,Selling
Interval-valued,-979.346252,2317.602051,11.263846,false,Interval-valued,Interval-valued
Intuitionistic,-1036.178101,2316.622559,11.263846,false,Intuitionistic,Intuitionistic
Binding,2878.458984,-1557.406494,11.263846,false,Binding,Binding
Local_binary_pattern,261.200592,1921.88208,11.263846,false,Local binary pattern,Local binary pattern
Sequenced,3647.070312,-1302.386841,11.263846,false,Sequenced,Sequenced
AlexNet,980.21814,3486.538818,11.263846,false,AlexNet,AlexNet
carcinomas,3836.222412,-184.826019,11.263846,false,carcinomas,carcinomas
sliding-mode,-2237.942871,-830.008301,11.263846,false,sliding-mode,sliding-mode
flexions,1852.827271,1103.009155,11.263846,false,flexions,flexions
infer,4906.310059,400.947876,11.263846,false,infer,infer
/inf,4894.667969,378.9888,11.263846,false,/inf,/inf
rocks,510.44812,-2624.798096,11.263846,false,rocks,rocks
Underwent,3127.969482,851.211304,11.263846,false,Underwent,Underwent
Whole-brain,1971.412842,1846.006226,11.263846,false,Whole-brain,Whole-brain
tensile,225.576065,-1473.27417,11.263846,false,tensile,tensile
accelerators,-3673.966553,1847.474365,11.263846,false,accelerators,accelerators
authors,-1785.566772,2722.454834,11.263846,false,authors,authors
Preprocessed,2158.181396,-3789.790283,11.263846,false,Preprocessed,Preprocessed
MODIS,954.703918,-3794.93042,11.1904,false,MODIS,MODIS
Ophthalmology,2578.580566,968.192627,11.173832,true,Ophthalmology,Ophthalmology
sum-rate,-4253.310059,-200.838608,11.158266,false,sum-rate,sum-rate
borehole,482.980316,-2617.133301,11.150177,false,borehole,borehole
Prefrontal,1971.098389,1958.406494,11.144973,false,Prefrontal,Prefrontal
Laminar,-676.249878,-1937.555542,11.127854,false,Laminar,Laminar
Reynolds,-705.271545,-1939.001099,11.127854,false,Reynolds,Reynolds
Uplink,-4188.066406,-172.788483,11.104988,false,Uplink,Uplink
Radiotherapy,2331.182373,406.34729,11.092792,false,Radiotherapy,Radiotherapy
Galactic,125.692116,-787.427307,11.082869,false,Galactic,Galactic
Diabetic,2672.086914,974.781799,11.082869,false,Diabetic,Diabetic
incompressible,-809.570984,-1903.042969,11.059124,false,incompressible,incompressible
